what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1507001060620
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001061800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1507001063651
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1507001065257
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001100412
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1507001117918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001129606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001131193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001140497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001142180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001143509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001156803
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001161658
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1507001163823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001176713
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001220381
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001222221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1507001256793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001258427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001259823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001261998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001289748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1507001294828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001296592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001404128
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1507001414142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001415738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001434425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001479819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001634044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1507001637665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1507001645793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001647427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1507001658846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1507001666965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1507001668814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1507001670824
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001672675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1507001677257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1507001679744
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001681726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1507001690402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1507001702463
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001704300
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1507001707907
