what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984602584
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984610649
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984620458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984627436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984628848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1506984633007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1506984636570
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506984638362
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984646615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1506984651551
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506984653433
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984659988
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984660858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1506984668981
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1506984670746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1506984672235
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984673330
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984676135
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984679047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1506984682430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1506984683741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984685285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984687949
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506984689088
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984695780
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984707599
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1506984717536
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984735781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984746424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984882193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984883885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984893198
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984893882
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506984901625
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984919823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1506984943219
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506984943907
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506984962211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506984975727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1506985027554
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1506985051864
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1506985051870
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1506985052071
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1506985052079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1506985067318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985068745
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1506985070788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985085487
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985094347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1506985094380
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1506985101101
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1506985101130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985101139
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1506985101168
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1506985101346
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1506985101350
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1506985101352
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1506985101391
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1506985101393
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1506985101455
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1506985101457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985101507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985101780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985204232
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1506985208015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985212929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1506985239968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985256887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985259786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985285713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985294269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985300409
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506985300532
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506985300600
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1506985300619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985328519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985400943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1506985406066
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506985410917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985442667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985453363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985475489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985541921
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506985544140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1506985550114
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506985551695
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506985558245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1506985621912
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506985622745
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506985633232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985648394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985653681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985653729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985659176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1506985659612
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506985662029
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1506985666678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985692150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1506985743578
error,log,,,"PHPCore plugin internal error",1506985748323
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1506985780685
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1506985782114
